TOBA SAMOSIR,10020
MANDAILING NATAL,10227
NIAS SELATAN,10646
PAKPAK BHARAT,11022
HUMBANG HASUNDUTAN,11083
SAMOSIR,11247
SERDANG BEDAGAI,11374
BATU BARA,11635
KOTA MEDAN,11743
KOTA PEMATANGSIANTAR,11916
KOTA SIBOLGA,11978
KOTA TANJUNG BALAI,12000
KOTA BINJAI,12038
ACEH TENGAH,1207
KOTA TEBING TINGGI,12081
KOTA PADANG SIDIMPUAN,12122
PADANG LAWAS UTARA,12208
PADANG LAWAS,12606
PESISIR SELATAN,12921
SOLOK,13010
SIJUNJUNG,13099
TANAH DATAR,13163
PADANG PARIAMAN,13253
AGAM,13317
LIMA PULUH KOTA,13416
PASAMAN,13509
KEPULAUAN MENTAWAI,13554
DHARMASRAYA,13608
SOLOK SELATAN,13634
PASAMAN BARAT,13681
KOTA PADANG,13712
KOTA SOLOK,13828
KOTA SAWAHLUNTO,13844
KOTA PADANG PANJANG,13886
KOTA BUKITTINGGI,13905
KOTA PAYAKUMBUH,13933
KOTA PARIAMAN,14010
KEPULAUAN MERANTI,14087
KAMPAR,14166
INDRAGIRI HULU,14414
BENGKALIS,14630
INDRAGIRI HILIR,14741
ACEH BARAT,1492
PELALAWAN,14955
ROKAN HULU,15087
ROKAN HILIR,15254
SIAK,15412
KUANTAN SINGINGI,15553
KOTA PEKANBARU,15775
KOTA DUMAI,15846
KOTA SUNGAI PENUH,15886
KERINCI,15961
MERANGIN,16183
SAROLANGUN,16420
BATANGHARI,16576
MUARO JAMBI,16699
TANJUNG JABUNG BARAT,16862
TANJUNG JABUNG TIMUR,16946
BUNGO,17051
TEBO,17215
KOTA JAMBI,17333
OGAN KOMERING ULU,17405
OGAN KOMERING ILIR,17570
MUARA ENIM,17895
ACEH BESAR,1824
LAHAT,18244
MUSI RAWAS,18643
MUSI BANYUASIN,18942
BANYUASIN,19172
OGAN KOMERING ULU TIMUR,19492
OGAN KOMERING ULU SELATAN,19808
ACEH SELATAN,2
OGAN ILIR,20087
EMPAT LAWANG,20345
KOTA PALEMBANG,20512
KOTA PAGAR ALAM,20636
KOTA LUBUKLINGGAU,20677
KOTA PRABUMULIH,20758
BENGKULU TENGAH,20803
BENGKULU SELATAN,20923
REJANG LEBONG,21093
BENGKULU UTARA,21265
KAUR,21492
SELUMA,21702
MUKOMUKO,21885
LEBONG,22052
KEPAHIANG,22135
KOTA BENGKULU,22252
PRINGSEWU,22329
MESUJI,22439
TULANG BAWANG BARAT,22522
LAMPUNG SELATAN,22605
LAMPUNG TENGAH,22875
LAMPUNG UTARA,23189
LAMPUNG BARAT,23460
TULANG BAWANG,23737
TANGGAMUS,23903
LAMPUNG TIMUR,24202
WAY KANAN,24484
PIDIE,2452
KOTA BANDAR LAMPUNG,24709
KOTA METRO,24822
PESAWARAN,24850
BANGKA,24994
BELITUNG,25072
BANGKA SELATAN,25120
BANGKA TENGAH,25181
BANGKA BARAT,25245
BELITUNG TIMUR,25316
KOTA PANGKALPINANG,25363
KOTA TANJUNGPINANG,25406
KEPULAUAN ANAMBAS,25429
BINTAN,25471
KARIMUN,25533
NATUNA,25597
LINGGA,25683
KOTA BATAM,25746
KEPULAUAN SERIBU,25824
JAKARTA PUSAT,25833
JAKARTA UTARA,25886
JAKARTA BARAT,25924
JAKARTA SELATAN,25989
JAKARTA TIMUR,26065
BOGOR,26142
SUKABUMI,26611
ACEH TENGGARA,269
CIANJUR,27026
BANDUNG,27407
GARUT,27714
TASIKMALAYA,28182
CIAMIS,28573
KUNINGAN,28960
CIREBON,29369
MAJALENGKA,29834
SUMEDANG,30197
INDRAMAYU,30503
SUBANG,30851
PURWAKARTA,31135
KARAWANG,31345
BEKASI,31685
BANDUNG BARAT,31896
ACEH UTARA,3205
KOTA BOGOR,32077
KOTA SUKABUMI,32152
KOTA BANDUNG,32193
KOTA CIREBON,32375
KOTA BEKASI,32403
KOTA DEPOK,32472
KOTA CIMAHI,32547
KOTA TASIKMALAYA,32566
KOTA BANJAR,32646
CILACAP,32677
BANYUMAS,32986
PURBALINGGA,33345
BANJARNEGARA,33603
KEBUMEN,33902
PURWOREJO,34389
WONOSOBO,34900
MAGELANG,35181
BOYOLALI,35575
KLATEN,35862
SUKOHARJO,36290
WONOGIRI,36470
KARANGANYAR,36790
SRAGEN,36985
GROBOGAN,37214
BLORA,37514
REMBANG,37826
PATI,38136
KUDUS,38564
JEPARA,38706
DEMAK,38917
SEMARANG,39181
TEMANGGUNG,39436
KENDAL,39746
BATANG,40053
PEKALONGAN,40317
PEMALANG,40622
TEGAL,40859
SIMEULUE,4086
BREBES,41165
KOTA MAGELANG,41480
KOTA SURAKARTA,41501
KOTA SALATIGA,41558
KOTA SEMARANG,41585
KOTA PEKALONGAN,41779
KOTA TEGAL,41831
KULON PROGO,41864
BANTUL,41965
GUNUNGKIDUL,42058
SLEMAN,42221
KOTA YOGYAKARTA,42325
ACEH SINGKIL,4233
PACITAN,42386
PONOROGO,42570
TRENGGALEK,42897
TULUNGAGUNG,43069
BLITAR,43360
BIREUEN,4362
KEDIRI,43630
MALANG,43993
LUMAJANG,44417
JEMBER,44643
BANYUWANGI,44923
BONDOWOSO,45165
SITUBONDO,45407
PROBOLINGGO,45561
PASURUAN,45916
SIDOARJO,46306
MOJOKERTO,46678
JOMBANG,47001
NGANJUK,47329
MADIUN,47634
MAGETAN,47856
NGAWI,48110
BOJONEGORO,48347
TUBAN,48805
LAMONGAN,49154
GRESIK,49656
ACEH BARAT DAYA,4989
BANGKALAN,50031
SAMPANG,50331
PAMEKASAN,50532
SUMENEP,50735
KOTA KEDIRI,51095
KOTA BLITAR,51145
KOTA MALANG,51170
KOTA PROBOLINGGO,51233
KOTA PASURUAN,51268
KOTA MOJOKERTO,51306
KOTA MADIUN,51327
KOTA SURABAYA,51358
GAYO LUES,5138
KOTA BATU,51550
PANDEGLANG,51579
LEBAK,51913
TANGERANG,52287
SERANG,52593
ACEH JAYA,5286
KOTA TANGERANG,52936
KOTA CILEGON,53054
KOTA SERANG,53106
KOTA TANGERANG SELATAN,53179
JEMBRANA,53242
TABANAN,53299
BADUNG,53439
GIANYAR,53508
KLUNGKUNG,53586
BANGLI,53650
KARANGASEM,53727
BULELENG,53814
KOTA DENPASAR,53972
LOMBOK BARAT,54021
LOMBOK TENGAH,54123
LOMBOK TIMUR,54260
SUMBAWA,54400
DOMPU,54590
NAGAN RAYA,5463
BIMA,54666
SUMBAWA BARAT,54853
KOTA MATARAM,54925
KOTA BIMA,54982
LOMBOK UTARA,55026
KUPANG,55066
TIMOR TENGAH SELATAN,55347
TIMOR TENGAH UTARA,55620
BELU,55819
ALOR,56051
FLORES TIMUR,56244
SIKKA,56489
ENDE,56671
NGADA,56904
ACEH TAMIANG,5694
MANGGARAI,57008
SUMBA TIMUR,57167
SUMBA BARAT,57346
LEMBATA,57406
ROTE NDAO,57560
MANGGARAI BARAT,57649
NAGEKEO,57778
SUMBA TENGAH,57886
SUMBA BARAT DAYA,57935
KOTA KUPANG,58040
MANGGARAI TIMUR,58098
SABU RAIJUA,58219
SAMBAS,58286
PONTIANAK,58490
SANGGAU,58567
KETAPANG,58749
SINTANG,59018
BENER MERIAH,5920
KAPUAS HULU,59320
BENGKAYANG,59557
LANDAK,59699
SEKADAU,59869
MELAWI,59953
KAYONG UTARA,60134
KOTA PONTIANAK,60183
KOTA SINGKAWANG,60223
KUBU RAYA,60255
KOTAWARINGIN BARAT,60372
KOTAWARINGIN TIMUR,60468
KAPUAS,60653
BARITO SELATAN,60867
BARITO UTARA,60967
KATINGAN,61077
SERUYAN,61251
SUKAMARA,61362
LAMANDAU,61400
GUNUNG MAS,61492
PULANG PISAU,61614
PIDIE JAYA,6166
MURUNG RAYA,61711
BARITO TIMUR,61846
KOTA PALANGKARAYA,61929
TANAH LAUT,61966
KOTABARU,62112
BANJAR,62333
BARITO KUALA,62643
TAPIN,62861
HULU SUNGAI SELATAN,63007
HULU SUNGAI TENGAH,63167
HULU SUNGAI UTARA,63348
TABALONG,63578
TANAH BUMBU,63722
BALANGAN,63866
KOTA BANDA ACEH,6397
KOTA BANJARMASIN,64027
KOTA BANJARBARU,64085
PASER,64112
KUTAI KARTANEGARA,64248
BERAU,64496
BULUNGAN,64617
NUNUKAN,64709
MALINAU,64949
KOTA SABANG,6497
KUTAI BARAT,65069
KOTA LHOKSEUMAWE,6518
KUTAI TIMUR,65315
PENAJAM PASER UTARA,65469
KOTA BALIKPAPAN,65528
KOTA SAMARINDA,65567
KOTA TARAKAN,65631
KOTA BONTANG,65656
TANA TIDUNG,65675
BOLAANG MONGONDOW TIMUR,65703
BOLAANG MONGONDOW SELATAN,65760
BOLAANG MONGONDOW,65822
KOTA LANGSA,6591
MINAHASA,65974
KEPULAUAN SANGIHE,66188
KEPULAUAN TALAUD,66371
KOTA SUBULUSSALAM,6648
MINAHASA SELATAN,66544
MINAHASA UTARA,66718
MINAHASA TENGGARA,66853
BOLAANG MONGONDOW UTARA,66936
KEP. SIAU TAGULANDANG BIARO,67035
ACEH TIMUR,671
KOTA MANADO,67130
KOTA BITUNG,67227
LABUHANBATU SELATAN,6729
KOTA TOMOHON,67305
KOTA KOTAMOBAGU,67355
SIGI,67394
BANGGAI,67558
