FAJAR HARAPAN,10
UJUNG TANAH,100
MATANG KUPULA LHEE,1000
KENDIT LIANG,10000
LAU LEBAH,10001
TUPAK RAJA,10002
SAMBALIANG,10004
PASI,10005
BANJARTOBA,10006
KARING,10007
BRAMPU,10008
ULEE ATEUNG,1001
PAROPO,10010
SILALAHI I,10011
SILALAHI II,10012
SILALAHI III,10013
PAROPO I,10014
PANJI DABUTAR,10016
SITINJO,10017
SITINJO I,10018
SITINJO II,10019
BLANG UBIT,1002
BALIGE I,10022
BALIGE III,10023
PARDEDE ONAN,10024
SANGKAR NIHUTA,10025
LUMBAN DOLOK HAUMA BANGE,10026
NAPITUPULU BAGASAN,10027
HUTANAMORA,10028
HUTAGAOL PEATALUN,10029
MATANG GURU,1003
HINALANG BAGASAN,10030
MATIO,10031
LUMBAN PEA,10032
HUTABULU MEJAN,10033
LUMBAN GAOL,10034
PARSURATAN,10035
BARUARA,10036
AEK BOLON JULU,10037
SIBOLAHOTANG SAS,10038
LUMBAN BULBUL,10039
PANTEE BAYAM,1004
SIANIPAR SIHAILHAIL,10040
SILALAHI PAGAR BATU,10041
LUMBAN SILINTONG,10042
SARIBU RAJA JANJI MARIA,10043
LONGAT,10044
BALIGE II,10045
AEK BOLON JAE,10046
LUMBAN GORAT,10047
SIBUNTUON,10048
SIBORUON,10049
MEUNASAH ASAN,1005
PAINDOAN,10050
BONAN DOLOK I,10051
BONAN DOLOK II,10052
BONAN DOLOK III,10053
HUTA DAME,10054
PASAR LAGUBOTI,10056
SIBUEA,10057
SINTONG MARNIPI,10058
SIBARANI NASAMPULU/NAMUNGKUP,10059
MEUNASAH TINGKEUM,1006
ARUAN,10060
SIDULANG,10061
UJUNG TANDUK,10062
HAUNATAS II,10063
PARDOMUAN NAULI,10064
SITANGKOLA,10065
TINGGIR NIPASIR,10066
HAUNATAS I,10067
PINTU BOSI,10068
SIMATIBUNG,10069
LUENG DUA,1007
LUMBAN BINANGA,10070
OMPU RAJA HUTAPEA,10071
GASARIBU,10072
PARDINGGARAN,10073
SITOLUAMA,10074
LUMBAN BAGASAN,10075
PINTU BATU,10077
SITORANG,10078
PARSAMBILAN,10079
LUENG PEUT,1008
HUTA GUR- GUR II,10080
SILAEN,10081
OMBUR,10082
LUMBAN DOLOK,10083
NATOLUTALI,10084
DALIHAN NATOLU,10085
SIGODANG TUA,10086
SINTA DAME,10087
HUTANAMORA,10088
PARDOMUAN,10089
PAYA DEMAM PEUT,1009
HUTA GUR-GUR I,10090
PARSOBURAN BARAT,10092
LUMBAN RAU SELATAN,10093
LUMBAN RUHAP,10094
LUMBAN RAU BARAT,10095
LUMBAN PEA,10096
LUMBAN BALIK,10097
PANAMPARAN,10098
LUMBAN PINASA,10099
UJUNG KAMPUNG,101
ABEUK GEULANTEU,1010
